name;location;categories;unit;reference product;name ei39;location ei39;ei39 categories;unit ei39;reference product ei39
Lithium, ion;;water;kilogram;;Lithium I;;water;kilogram;
Mercury;;air;kilogram;;Mercury II;;air;kilogram;
Particulates, < 2.5 um;;air;kilogram;;Particulate Matter, < 2.5 um;;air;kilogram;
treatment of wastewater, from residence, capacity 1.1E10l/year;RoW;;cubic meter;wastewater, from residence;treatment of wastewater, average, wastewater treatment;Europe without Switzerland;;cubic meter;wastewater, average
market for concrete, for de-icing salt contact;CH;;cubic meter;concrete, for de-icing salt contact;concrete production, 37MPa, for civil engineering, for deicing salt contact, with cement ZN/D;CH;;cubic meter;concrete, 37MPa
market for concrete, high exacting requirements;CH;;cubic meter;concrete, high exacting requirements;market for concrete, normal strength;CH;;cubic meter;concrete, normal strength
treatment of wastewater from lorry production, capacity 4.7E10l/year;CH;;cubic meter;wastewater from lorry production;treatment of wastewater from lorry production, wastewater treatment, urban;CH;;cubic meter;wastewater from lorry production
Cobalt, in ground;;natural resource::in ground;kilogram;;Cobalt;;natural resource::in ground;kilogram;
Copper, in ground;;natural resource::in ground;kilogram;;Copper;;natural resource::in ground;kilogram;
Particulates, > 2.5 um, and < 10um;;air;kilogram;;Particulate Matter, > 2.5 um and < 10um;;air;kilogram;
Oil, crude, in ground;;natural resource::in ground;kilogram;;Oil, crude;;natural resource::in ground;kilogram;
AOX, Adsorbable Organic Halogen as Cl;;water::surface water;kilogram;;AOX, Adsorbable Organic Halogen;;water::surface water;kilogram;
Aluminium;;water::surface water;kilogram;;Aluminium III;;water::surface water;kilogram;
